fecha,caja_neta,consenso_score,severidad,metodos_detectores,if_detectado,zscore_detectado,iqr_detectado,benford_detectado,temporal_detectado
2024-01-31,29805.844684930256,0.0,,[],False,False,False,False,False
2024-02-01,7821.8641008333,0.15,bajo,['Benford'],False,False,False,True,False
2024-02-02,10104.047687885373,0.0,,[],False,False,False,False,False
2024-02-03,-16480.38424594095,0.25,medio,['Temporal'],False,False,False,False,True
2024-02-04,-1929.9147989529665,0.25,medio,['Temporal'],False,False,False,False,True
2024-02-05,24823.69424608382,0.0,,[],False,False,False,False,False
2024-02-06,17039.57344112948,0.0,,[],False,False,False,False,False
2024-02-07,6127.886935168161,0.15,bajo,['Benford'],False,False,False,True,False
2024-02-08,-36064.525056137434,0.15,bajo,['IQR'],False,False,True,False,False
2024-02-09,22428.225014778895,0.0,,[],False,False,False,False,False
2024-02-10,13082.610520316259,0.25,medio,['Temporal'],False,False,False,False,True
2024-02-11,16227.094785712354,0.25,medio,['Temporal'],False,False,False,False,True
2024-02-12,20834.72852611503,0.0,,[],False,False,False,False,False
2024-02-13,30416.138254942733,0.0,,[],False,False,False,False,False
2024-02-14,15663.530125304002,0.0,,[],False,False,False,False,False
2024-02-15,4136.43455467638,0.0,,[],False,False,False,False,False
2024-02-16,18094.756097943937,0.0,,[],False,False,False,False,False
2024-02-17,-13475.961317992125,0.25,medio,['Temporal'],False,False,False,False,True
2024-02-18,1881.2453418008663,0.25,medio,['Temporal'],False,False,False,False,True
2024-02-19,25739.905362428275,0.0,,[],False,False,False,False,False
2024-02-20,20668.611497956186,0.0,,[],False,False,False,False,False
2024-02-21,17824.280979263996,0.0,,[],False,False,False,False,False
2024-02-22,1588.7647008363274,0.0,,[],False,False,False,False,False
2024-02-23,13798.596867223481,0.0,,[],False,False,False,False,False
2024-02-24,-697.724958235176,0.4,medio,"['Benford', 'Temporal']",False,False,False,True,True
2024-02-25,-6069.2922122311575,0.4,medio,"['Benford', 'Temporal']",False,False,False,True,True
2024-02-26,18255.958225737424,0.0,,[],False,False,False,False,False
2024-02-27,29681.75038783106,0.0,,[],False,False,False,False,False
2024-02-28,7678.421104326728,0.15,bajo,['Benford'],False,False,False,True,False
2024-02-29,11843.58743480216,0.0,,[],False,False,False,False,False
2024-03-01,-4107.466091839418,0.0,,[],False,False,False,False,False
2024-03-02,-7267.761418463579,0.4,medio,"['Benford', 'Temporal']",False,False,False,True,True
2024-03-03,31031.686408299734,0.25,medio,['Temporal'],False,False,False,False,True
2024-03-04,17797.138164700336,0.0,,[],False,False,False,False,False
2024-03-05,11687.736414865794,0.0,,[],False,False,False,False,False
2024-03-06,13285.163798752037,0.0,,[],False,False,False,False,False
2024-03-07,-68.01767896566889,0.15,bajo,['Benford'],False,False,False,True,False
