ds,yhat,yhat_lower_80,yhat_upper_80,yhat_lower,yhat_upper,horizonte
2024-12-30,50614.130273715724,28727.206566126853,72501.05398130459,19080.098338315678,84128.48220096118,30d
2024-12-31,40181.88612590335,18562.0238688621,61801.7483829446,5178.780425060209,73287.30020699777,30d
2025-01-01,51794.863304792685,29868.023214752204,73721.70339483317,15529.94962051151,85370.33719266717,30d
2025-01-02,41311.710463656105,18404.29563687317,64219.12529043904,3034.610520886621,76388.68941716748,30d
2025-01-03,42894.36032705009,19161.75041566527,66626.97023843491,9904.033822569634,79234.9192538581,30d
2025-01-04,22108.16396390306,594.0519921754458,43622.27593563068,-11092.690317165254,55051.64792061097,30d
2025-01-05,32766.74970853115,12400.071359198384,53133.428057863915,-3828.2897734101484,63953.22593094695,30d
2025-01-06,48318.89143739626,26079.526665272246,70558.25620952027,13954.264469920152,82372.91874471116,30d
2025-01-07,35015.20066190473,13477.224242192664,56553.1770816168,793.2760215108079,67995.22705458883,30d
2025-01-08,43773.48666016607,20564.911372104463,66982.06194822767,9682.213800473024,79311.6175700104,30d
2025-01-09,30508.036638033256,8649.091344335557,52366.98193173096,-5610.301786994004,63979.54661900786,30d
2025-01-10,29434.750270809658,7208.970476379753,51660.53006523957,-6085.697902819758,63467.97558103045,30d
2025-01-11,6170.056659175581,-17071.200794070854,29411.314112422016,-32187.95909829605,41758.23213445918,30d
2025-01-12,14574.630473393014,-8900.521193394901,38049.78214018093,-18633.18020543853,50520.95646316201,30d
2025-01-13,28139.219897353687,5439.603862584139,50838.835932123235,-6752.463331549433,62898.00695059456,30d
2025-01-14,13150.425983522147,-8142.450581802974,34443.30254884727,-19936.75287705961,45755.14322417624,30d
2025-01-15,20555.299387385767,112.9129435355062,40997.68583123603,-16010.21967604332,51857.703629531476,30d
2025-01-16,6290.0242704844895,-16403.052168083977,28983.100709052957,-25937.7148677262,41038.79756704246,30d
2025-01-17,4584.637123775282,-19421.79027345954,28591.064521010107,-29204.189655718525,41344.4790757911,30d
2025-01-18,-18938.28276793913,-43175.1014728834,5298.535937005137,-50173.86542015943,18174.34587400678,30d
2025-01-19,-10419.93067316781,-32296.065851354833,11456.204505019216,-44814.409129213425,23077.90131843107,30d
2025-01-20,3620.709845940261,-19183.486453703976,26424.9061455845,-30682.154333872473,38539.635429770504,30d
2025-01-21,-10547.009691201838,-32725.29682460267,11631.277442198993,-45556.381597459615,23413.492481818183,30d
2025-01-22,-2000.2870135757341,-25892.62687183276,21892.052844681293,-36950.10276130212,34584.85839438034,30d
2025-01-23,-14833.506510080184,-36298.89554107067,6631.8825209103015,-50957.788106689026,18035.370443624,30d
2025-01-24,-14852.70106240877,-37290.78462906638,7585.382504248839,-50112.35043355075,19505.614399035687,30d
2025-01-25,-36475.92405287898,-59235.216593237186,-13716.63151252078,-71827.50789538509,-1625.7573504554807,30d
2025-01-26,-25888.536229637764,-47758.828151150024,-4018.244308125504,-58678.091321071624,7600.34827517789,30d
2025-01-27,-9656.123297842072,-32789.22276381669,13476.976168132545,-43509.870750226764,25766.43525943156,30d
2025-01-28,-21557.239322609694,-43737.32435311322,622.84570789383,-58339.47313594079,12406.015880348823,30d
